验证序号,验证目标,验证数据集,验证模型,数据划分方式,异常值剔除,预测时长,训练时间(秒),状态,实验ID,训练样本数,测试样本数,特征数,R2,MAE,RMSE,日志文件
1,目标1: 训练/测试集划分方式的影响,TX1,RandomForest,"时序分割: 前80%训练, 后20%测试",默认-IQR,1 hour,3.03,success,exp_001,52449,13113,,-4.9469,7.2694,8.2638,logs/exp_001.log
2,目标1: 训练/测试集划分方式的影响,TX1,RandomForest,"滑动窗口随机: 形成滑动窗口数据对, 随机80%训练, 20%测试",默认-IQR,1 hour,7.51,success,exp_002,32000,8000,,0.931,1.3415,2.001,logs/exp_002.log
3,目标1: 训练/测试集划分方式的影响,TX1,RandomForest,"分组随机: 先将数据随机分成100组, 随机80%组训练, 20%组测试",默认-IQR,1 hour,6.92,success,exp_003,32000,8000,,-0.5445,7.5184,8.7984,logs/exp_003.log
4,目标2: 异常值剔除比例的影响,TX1,RandomForest,"滑动窗口随机: 形成滑动窗口数据对, 随机80%训练, 20%测试",最多1%,1 hour,7.46,success,exp_004,32000,8000,,0.9266,1.5023,2.2469,logs/exp_004.log
5,目标2: 异常值剔除比例的影响,TX1,RandomForest,"滑动窗口随机: 形成滑动窗口数据对, 随机80%训练, 20%测试",最多5%,1 hour,7.34,success,exp_005,32000,8000,,0.9298,1.3321,1.9746,logs/exp_005.log
6,目标2: 异常值剔除比例的影响,TX1,RandomForest,"滑动窗口随机: 形成滑动窗口数据对, 随机80%训练, 20%测试",默认-IQR,1 hour,7.16,success,exp_006,32000,8000,,0.931,1.3415,2.001,logs/exp_006.log
7,目标3: 有无时间特征的影响,TX1,RandomForest,"滑动窗口随机: 形成滑动窗口数据对, 随机80%训练, 20%测试",默认-IQR,1 hour,7.17,success,exp_007,32000,8000,,0.931,1.3415,2.001,logs/exp_007.log
8,目标3: 有无时间特征的影响,TX1,RandomForest,"滑动窗口随机: 形成滑动窗口数据对, 随机80%训练, 20%测试",默认-IQR,1 hour,3.96,success,exp_008,32000,8000,,0.2415,5.2454,6.6332,logs/exp_008.log
9,目标3: 有无时间特征的影响,TX1,RandomForest,"滑动窗口随机: 形成滑动窗口数据对, 随机80%训练, 20%测试",默认-IQR,1 hour,2.71,success,exp_009,32000,8000,,0.8456,2.2337,2.9925,logs/exp_009.log
10,目标4: RandomForest最优的时间窗口,TX1,RandomForest,"滑动窗口随机: 形成滑动窗口数据对, 随机80%训练, 20%测试",默认-IQR,1 hour,7.22,success,exp_010,32000,8000,,0.931,1.3415,2.001,logs/exp_010.log
11,目标4: RandomForest最优的时间窗口,TX1,RandomForest,"滑动窗口随机: 形成滑动窗口数据对, 随机80%训练, 20%测试",默认-IQR,1 hour,7.21,success,exp_011,32000,8000,,0.931,1.3415,2.001,logs/exp_011.log
12,目标4: RandomForest最优的时间窗口,TX1,RandomForest,"滑动窗口随机: 形成滑动窗口数据对, 随机80%训练, 20%测试",默认-IQR,1 hour,7.44,success,exp_012,32000,8000,,0.931,1.3415,2.001,logs/exp_012.log
19,目标4: RandomForest最优的时间窗口,TX2,RandomForest,"滑动窗口随机: 形成滑动窗口数据对, 随机80%训练, 20%测试",默认-IQR,1 hour,4.12,success,exp_019,32000,8000,,0.9641,1.6064,2.2635,logs/exp_019.log
20,目标4: RandomForest最优的时间窗口,TX2,RandomForest,"滑动窗口随机: 形成滑动窗口数据对, 随机80%训练, 20%测试",默认-IQR,1 hour,4.18,success,exp_020,32000,8000,,0.9641,1.6064,2.2635,logs/exp_020.log
21,目标4: RandomForest最优的时间窗口,TX2,RandomForest,"滑动窗口随机: 形成滑动窗口数据对, 随机80%训练, 20%测试",默认-IQR,1 hour,4.17,success,exp_021,32000,8000,,0.9641,1.6064,2.2635,logs/exp_021.log
28,目标5: MLP最优的时间窗口,TX1,MLP,"滑动窗口随机: 形成滑动窗口数据对, 随机80%训练, 20%测试",默认-IQR,1 hour,109.37,success,exp_028,32000,8000,,0.8522,2.191,2.9281,logs/exp_028.log
29,目标5: MLP最优的时间窗口,TX1,MLP,"滑动窗口随机: 形成滑动窗口数据对, 随机80%训练, 20%测试",默认-IQR,1 hour,110.88,success,exp_029,32000,8000,,0.8522,2.191,2.9281,logs/exp_029.log
30,目标5: MLP最优的时间窗口,TX1,MLP,"滑动窗口随机: 形成滑动窗口数据对, 随机80%训练, 20%测试",默认-IQR,1 hour,111.84,success,exp_030,32000,8000,,0.8522,2.191,2.9281,logs/exp_030.log
37,目标5: MLP最优的时间窗口,TX2,MLP,"滑动窗口随机: 形成滑动窗口数据对, 随机80%训练, 20%测试",默认-IQR,1 hour,156.71,success,exp_037,32000,8000,,0.9208,2.5369,3.3607,logs/exp_037.log
38,目标5: MLP最优的时间窗口,TX2,MLP,"滑动窗口随机: 形成滑动窗口数据对, 随机80%训练, 20%测试",默认-IQR,1 hour,150.38,success,exp_038,32000,8000,,0.9208,2.5369,3.3607,logs/exp_038.log
39,目标5: MLP最优的时间窗口,TX2,MLP,"滑动窗口随机: 形成滑动窗口数据对, 随机80%训练, 20%测试",默认-IQR,1 hour,155.52,success,exp_039,32000,8000,,0.9208,2.5369,3.3607,logs/exp_039.log
46,目标6: RNN最优的时间窗口,TX1,RNN,"滑动窗口随机: 形成滑动窗口数据对, 随机80%训练, 20%测试",默认-IQR,1 hour,777.9,success,exp_046,32000,8000,,0.8393,2.1714,3.0529,logs/exp_046.log
47,目标6: RNN最优的时间窗口,TX1,RNN,"滑动窗口随机: 形成滑动窗口数据对, 随机80%训练, 20%测试",默认-IQR,1 hour,854.07,success,exp_047,32000,8000,,0.8393,2.1714,3.0529,logs/exp_047.log
48,目标6: RNN最优的时间窗口,TX1,RNN,"滑动窗口随机: 形成滑动窗口数据对, 随机80%训练, 20%测试",默认-IQR,1 hour,861.6,success,exp_048,32000,8000,,0.8393,2.1714,3.0529,logs/exp_048.log
55,目标6: RNN最优的时间窗口,TX2,RNN,"滑动窗口随机: 形成滑动窗口数据对, 随机80%训练, 20%测试",默认-IQR,1 hour,509.31,success,exp_055,32000,8000,,0.8965,2.9729,3.841,logs/exp_055.log
56,目标6: RNN最优的时间窗口,TX2,RNN,"滑动窗口随机: 形成滑动窗口数据对, 随机80%训练, 20%测试",默认-IQR,1 hour,517.57,success,exp_056,32000,8000,,0.8965,2.9729,3.841,logs/exp_056.log
57,目标6: RNN最优的时间窗口,TX2,RNN,"滑动窗口随机: 形成滑动窗口数据对, 随机80%训练, 20%测试",默认-IQR,1 hour,540.81,success,exp_057,32000,8000,,0.8965,2.9729,3.841,logs/exp_057.log
