验证序号,验证目标,验证数据集,验证模型,数据划分方式,异常值剔除,特征模式,时间窗口,预测时长,RMSE,MAE,MSE,R2,训练时间(秒),状态,日志文件
148,目标19: Phase6: LR再验证-3e-5,TX1,Informer-Long,"时序分割: 前80%训练, 后20%测试",无,加入年月日等特征,固定时间窗口-12倍,1 week,5.263102220666659,4.135179378859934,27.70024498518632,-1.3315908908843994,4000.9152200222015,success,logs/exp_148.log
149,目标20: Phase6: LR再验证-7e-5,TX1,Informer-Long,"时序分割: 前80%训练, 后20%测试",无,加入年月日等特征,固定时间窗口-12倍,1 week,5.78172699914169,4.599845546057969,33.42836709260398,-1.813739538192749,5063.181538820267,success,logs/exp_149.log
150,目标21: Phase6: Encoder深度-e=5,TX1,Informer-Long,"时序分割: 前80%训练, 后20%测试",无,加入年月日等特征,固定时间窗口-12倍,1 week,5.470599830003798,4.434491279811607,29.927462500037585,-1.5190608501434326,4281.595238685608,success,logs/exp_150.log
151,目标22: Phase6: Encoder深度-e=6,TX1,Informer-Long,"时序分割: 前80%训练, 后20%测试",无,加入年月日等特征,固定时间窗口-12倍,1 week,5.1776409619318615,4.019351850043,26.807965930674694,-1.2564857006072998,5891.184092998505,success,logs/exp_151.log
152,目标23: Phase6: Decoder深度-d=3,TX1,Informer-Long,"时序分割: 前80%训练, 后20%测试",无,加入年月日等特征,固定时间窗口-12倍,1 week,5.399831694883299,4.325067440099132,29.158182333066243,-1.4543087482452393,4663.57120347023,success,logs/exp_152.log
153,目标24: Phase6: Decoder深度-d=4,TX1,Informer-Long,"时序分割: 前80%训练, 后20%测试",无,加入年月日等特征,固定时间窗口-12倍,1 week,4.934523925015908,3.8070702775344096,24.3495263665544,-1.049553632736206,8998.294912815094,success,logs/exp_153.log
154,目标25: Phase6: Decoder深度-d=5,TX1,Informer-Long,"时序分割: 前80%训练, 后20%测试",无,加入年月日等特征,固定时间窗口-12倍,1 week,,,,,7200.0,success,logs/exp_154.log
155,目标26: Phase6: 平衡架构-d3e5,TX1,Informer-Long,"时序分割: 前80%训练, 后20%测试",无,加入年月日等特征,固定时间窗口-12倍,1 week,5.3037547299528915,4.203756506869984,28.12981423549767,-1.367748737335205,4721.36664223671,success,logs/exp_155.log
156,目标27: Phase6: 平衡架构-d4e5,TX1,Informer-Long,"时序分割: 前80%训练, 后20%测试",无,加入年月日等特征,固定时间窗口-12倍,1 week,5.097289506684687,4.012393751592862,25.98236031495782,-1.1869926452636719,8342.066317796707,success,logs/exp_156.log
157,目标28: Phase6: 非对称架构-d3e6,TX1,Informer-Long,"时序分割: 前80%训练, 后20%测试",无,加入年月日等特征,固定时间窗口-12倍,1 week,5.467397653052784,4.278520435267834,29.892437096607093,-1.5161125659942627,9191.280247211456,success,logs/exp_157.log
