experiment_id,completed_at,status,tx_id,model,split_method,feature_mode,horizon,lookback_multiplier,seq_len,label_len,pred_len,d_model,n_heads,e_layers,d_layers,d_ff,factor,train_epochs,batch_size,learning_rate,patience,mse,mae,r2,train_time_seconds,error_message
exp_112,2025-11-07 15:23:14,success,1,Informer-Long,chronological,full,168,8.0,336,168,168,256,8,3,1,1024,5,8,8,0.0001,3,38.9617207221177,5.474338364368849,-2.279494285583496,803.7438032627106,
exp_113,2025-11-07 15:41:23,success,1,Informer-Long,chronological,full,168,12.0,336,168,168,256,8,3,1,1024,5,8,8,0.0001,3,34.26035587169124,5.000471340053121,-1.8837699890136719,1081.9520013332367,
exp_114,2025-11-07 15:55:47,success,1,Informer-Long,chronological,full,168,16.0,336,168,168,256,8,3,1,1024,5,8,8,0.0001,3,31.130168801073847,4.769539078991053,-1.6202950477600098,856.6745936870575,
exp_115,2025-11-07 16:10:43,success,2,Informer-Long,chronological,full,168,8.0,336,168,168,256,8,3,1,1024,5,8,8,0.0001,3,57.57938567499206,6.35720476547889,-1.5972812175750732,890.6352460384369,
exp_116,2025-11-07 16:31:08,success,2,Informer-Long,chronological,full,168,12.0,336,168,168,256,8,3,1,1024,5,8,8,0.0001,3,69.28306578410896,7.207560880185208,-2.125208854675293,1220.1317925453186,
exp_117,2025-11-07 16:54:47,success,2,Informer-Long,chronological,full,168,16.0,336,168,168,256,8,3,1,1024,5,8,8,0.0001,3,80.51216025212254,7.856571475241668,-2.6317291259765625,1413.042362689972,
exp_118,2025-11-07 17:17:55,success,1,Informer-Long,chronological,full,168,4.0,672,336,168,256,8,3,1,1024,5,8,8,0.0001,3,36.677307987642145,5.106969669346632,-2.087210178375244,1384.2777106761932,
exp_119,2025-11-07 17:40:43,success,1,Informer-Long,chronological,full,168,4.0,1008,504,168,256,8,3,1,1024,5,8,8,0.0001,3,41.030845443757144,5.3953724658113345,-2.4536569118499756,1363.0966515541077,
exp_120,2025-11-07 18:03:10,success,1,Informer-Long,chronological,full,168,4.0,1344,672,168,256,8,3,1,1024,5,8,8,0.0001,3,34.00236812860175,4.5168637240839775,-1.8620543479919434,1342.9507460594177,
exp_121,2025-11-07 18:26:18,success,2,Informer-Long,chronological,full,168,4.0,672,336,168,256,8,3,1,1024,5,8,8,0.0001,3,65.5475747783494,6.777182377130279,-1.9567089080810547,1383.6726529598236,
